ds,yhat,yhat_lower,yhat_upper
2018-01-01,40.411587727734386,34.33454453205896,46.500637932593136
2018-02-01,38.84098919354426,32.521779726894366,45.51514529713077
2018-03-01,43.603367287097086,37.44184596851756,50.17987451017263
2018-04-01,37.799652789949846,31.846317787493117,44.3925660499313
2018-05-01,39.679552123031606,33.07018022252138,46.201238526231315
2018-06-01,42.217965862718366,35.94815720562072,48.79161682290643
2018-07-01,38.5901814451896,32.024140007889976,44.79895608265361
2018-08-01,40.20074453285163,33.738480431865746,46.607167486143155
2018-09-01,38.710857973991125,32.378465540120374,44.46494444629924
2018-10-01,42.33021618628567,35.6654134724912,48.46998443286424
2018-11-01,40.61097569361907,34.67717588361762,46.82530602310194
2018-12-01,41.57678904469205,34.94423673967858,47.81296098927103
2019-01-01,43.00932127591767,36.680827222441835,49.495137398720075
2019-02-01,39.50424683838568,33.10578584526567,45.386391876641234
2019-03-01,46.708351261100134,40.589964861411936,53.356813564009954
2019-04-01,35.25281922640143,29.009543877359043,41.59775571665972
2019-05-01,39.13484125135091,32.42206039692907,45.424157985892585
2019-06-01,41.77052759400104,35.272397053531066,47.7181415088693
2019-07-01,41.58487367621295,35.17849543137987,47.938813284317966
2019-08-01,41.67499579919095,35.16334759677314,47.8325265743901
2019-09-01,38.06472021255779,32.150966347321436,44.45385774458077
2019-10-01,43.15642078391672,36.896775984909766,49.69769917718568
2019-11-01,40.92039047109452,34.847121069511616,47.5419703218448
2019-12-01,39.072678768830514,33.02692920636741,45.62478026935542
2020-01-01,45.71649110912178,39.36246121956735,52.0821241894232
2020-02-01,40.18752988118379,34.11216666323305,46.79158804112272
2020-03-01,39.15661375018245,32.67695043966519,45.00358256822708
2020-04-01,44.52402511948994,38.24348035827254,50.625222181482975
2020-05-01,42.72010167421425,36.28825464585861,48.58679523771105
2020-06-01,45.28081485120994,38.89804110716284,51.58219203160419
2020-07-01,34.42273010420965,28.539294330243127,40.23155744377075
2020-08-01,38.94501477888082,32.71059738911094,44.921262175931176
2020-09-01,41.727119445336,35.75324601411499,47.37322675047065
2020-10-01,42.58785367763361,36.19803783099882,48.91007359746023
2020-11-01,41.756558395759264,35.63756896479322,47.586479051837365
2020-12-01,48.68768185012176,42.66922176717715,54.81843218140572
2021-01-01,39.6995755614063,33.42195523059472,46.12407384140589
2021-02-01,39.98523653605806,33.73274053290038,46.415329743452226
2021-03-01,42.384056959391394,36.034725444918905,48.54360132304707
2021-04-01,42.09336274637523,36.08298879755312,48.50260479282917
2021-05-01,42.104071000665414,35.92686164105556,48.40092322841328
2021-06-01,44.6911143247491,38.84373594506168,50.864615724720394
2021-07-01,37.33901756530569,31.03087744747067,43.60154021355094
2021-08-01,40.49585854426235,34.473990279479125,46.90009237634872
2021-09-01,41.121256779508776,34.48027342865123,47.12972347976227
2021-10-01,43.41623416284845,37.111699768226444,49.42113220894066
2021-11-01,42.117905703691015,35.93622906974999,47.95643601160608
2021-12-01,46.07964767849648,39.55575486708133,52.5498259269969
2022-01-01,42.26415868596131,35.93709221073484,48.78048197817948
2022-02-01,40.61789010971891,34.30330993572079,46.841848807802485
2022-03-01,45.59427352486867,39.598540786455295,51.83952480086738
2022-04-01,39.52186255528078,32.95954357787173,45.841771144795395
2022-05-01,41.48365947851916,34.70410677560544,48.19308748910629
2022-06-01,44.133368188561235,37.75998426476077,50.26618153354803
2022-07-01,40.337357000567245,33.93254921161072,46.23657742479755
2022-08-01,42.01693154654724,35.764391273023904,48.413889681781264
2022-09-01,40.45598013302555,34.22084088701015,46.5623217281215
2022-10-01,44.234536621007535,38.06371027483888,50.85705353376125
2022-11-01,42.43402818486702,35.973014933052895,48.49616518822685
2022-12-01,43.4393172158292,37.238911071964445,49.66539936904142
2023-01-01,44.93188319307846,38.44547867539683,51.41926759255967
2023-02-01,41.26633318041398,35.08117065998528,47.12188751362501
2023-03-01,48.787731175787876,42.508981780013826,54.96375134507449
2023-04-01,36.81884334554358,30.491772703957416,42.686619692501516
2023-05-01,40.869697201688865,35.12548518937809,47.361334392369606
2023-06-01,43.6182413921345,37.344534567015224,50.13431782564725
2023-07-01,43.42054531979428,37.355608330286,49.46063360905442
2023-08-01,43.51068722148041,37.131477661867734,49.401741522870275
2023-09-01,39.73777842529423,33.554451170216254,45.96067059881381
2023-10-01,45.04932270662571,39.28929998840039,51.3019373040402
2023-11-01,42.71135238127688,36.497860713308434,49.05768416428991
2023-12-01,40.77920767841153,34.54456486798312,46.79916924614728
2023-12-31,57.53939560228717,51.542839454073196,64.01923651920015
2024-01-31,43.01938460504234,36.895045399366936,49.20752962120501
2024-02-29,51.96532110082634,45.75542480347034,58.481943799447095
2024-03-31,33.990377999331024,27.68695453852865,40.52707117027839
2024-04-30,40.269593491115074,34.05182074205317,46.617104271019926
2024-05-31,43.15231400238339,37.33446154457323,49.32582602969264
2024-06-30,46.58879507887935,40.05398877568871,52.54041448609428
2024-07-31,44.97599191487835,38.602642004368874,50.87755040627964
2024-08-31,38.96822750252809,32.84984530666476,45.291039669826766
2024-09-30,45.86156962062991,39.66740213200364,51.88574353119743
2024-10-31,42.95060608066603,36.62197017178575,49.00553478176593
2024-11-30,38.104171080245855,31.762724260219812,44.88290587733612
2024-12-31,50.59527168467886,44.05312120077925,56.93250754695963
2025-01-31,42.623207290764,36.005985999691376,48.931471559804756
2025-02-28,55.12251841373781,48.926252486504296,61.15562784020675
2025-03-31,31.03810806944813,24.617147508135044,37.370757213096496
